Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,1820.0,CE,ASTRAL,0,0,0,3.05,0,0,0,1684.2
26-Feb-2026,30-Mar-2026,1840.0,CE,ASTRAL,3.95,5,3.1,3.95,42075,35700,7225,1684.2
26-Feb-2026,30-Mar-2026,1880.0,CE,ASTRAL,2.7,3.05,2.1,2.1,9775,6800,6375,1684.2
26-Feb-2026,30-Mar-2026,1800.0,CE,ASTRAL,8,8.65,5.75,6.7,96900,94350,-6375,1684.2
26-Feb-2026,30-Mar-2026,1560.0,PE,ASTRAL,16.8,18.1,13.75,14.65,30600,39100,-5525,1684.2
26-Feb-2026,30-Mar-2026,1540.0,PE,ASTRAL,13.2,14.3,10.65,11.25,20825,61200,4675,1684.2
26-Feb-2026,30-Mar-2026,1520.0,PE,ASTRAL,10.4,10.7,8.3,8.55,8500,19975,-2975,1684.2
26-Feb-2026,30-Mar-2026,1380.0,PE,ASTRAL,0,0,0,3.2,0,6800,0,1684.2
26-Feb-2026,30-Mar-2026,1580.0,PE,ASTRAL,21.3,22.5,18.1,18.4,42925,51000,16575,1684.2
26-Feb-2026,30-Mar-2026,1360.0,PE,ASTRAL,1.45,1.7,1.45,1.7,3825,17425,-425,1684.2
26-Feb-2026,30-Mar-2026,1480.0,PE,ASTRAL,6.7,6.75,5.45,5.5,2975,6800,-425,1684.2
26-Feb-2026,30-Mar-2026,1340.0,PE,ASTRAL,0,0,0,4.2,0,850,0,1684.2
26-Feb-2026,30-Mar-2026,1320.0,PE,ASTRAL,0,0,0,1.4,0,20400,0,1684.2
26-Feb-2026,30-Mar-2026,1500.0,PE,ASTRAL,7.8,8.75,6.55,6.85,40375,154275,-6375,1684.2
26-Feb-2026,30-Mar-2026,1280.0,PE,ASTRAL,0,0,0,8.95,0,850,0,1684.2
26-Feb-2026,30-Mar-2026,1420.0,PE,ASTRAL,3.5,3.5,3.1,3.1,850,11900,850,1684.2
26-Feb-2026,30-Mar-2026,1440.0,PE,ASTRAL,4.3,4.3,3.4,3.4,2975,10200,-1275,1684.2
26-Feb-2026,30-Mar-2026,1460.0,PE,ASTRAL,5.5,5.5,4.2,4.2,2975,17850,0,1684.2
26-Feb-2026,30-Mar-2026,1400.0,PE,ASTRAL,2.4,2.5,2.25,2.4,11900,82875,425,1684.2
